ID,Joke
1,"when the cashier asks me ""is that everything?"", i feel like crap inside because obviously my order didn't satisfy her."
2,"i rather have an enemy who admits they hate me, instead of a friend who secretly put me down."
3,i don't always think i'm right....but whenever i think i'm wrong i tend to be mistaken.
4,i'm drinking coffee because people think you've got a problem if you drink vodka in the morning!
5,"everything i ever needed to know about structural engineering, i learned from angry birds."
6,what do you call it when 2 guys fight over a slut? tug-of-whor
7,"the person who came up with the word ""lisp"" wath a real athhole"
8,birth control pills should really be made for men. it makes more sense to unload a gun than to shoot a bulletproof vest.
9,crap....all this time i thought i was listening to the angel on my shoulder. turns out the devil on the other shoulder is just a hell of a ventriloquist.
10,"anyone know where i could find a bunch of ""glad you aren't here"" postcards to send out when i go on my vacation in a few weeks? i'll need about 50 of them."
11,my wife said i never do anything for her so i packed her bags and put them outside.
12,you are 15 years old you should feel butterflies in your stomach not a baby kicking
13,i try to have garage sales but as soon as anyone shows a slight interest in something i take it back into the house & look at it with pride.
14,i woke up and found sarah jessica parkers head in my bed. i guess i pissed off the mafia.
15,i will climb the highest mountain. swim the deepest sea. i will cross the desert land. i would do anything to get the fcuk away from you.
16,high-definition ruined porn for me. i like my porn blurry so i can't see butt acne and herp scars.
17,my uncle came out of the closet yesterday. he's not gay. he has alzheimer's and thought it was the car.
18,"i've never been interrogated, but i have ordered a sandwich at subway, so i think i'm prepared."
19,"bruce willis is working on the 5th die hard movie! they should call this one ""just kill me already!!!"""
20,scariest thing ever: when a kid sings a nursery rhyme really slow.
21,good friends don't let you do dumb things... alone.
22,hate being fat. love eating food.
23,you can convince people to go anywhere with the promise of free food.
24,if you get sexted by someone you don't like...does that mean you got molexted?
25,i don't have a dirty mind... i have a sexy imagination!
26,"if your status update contains the words, ""i know 99% of you won't repost this,"" there is a 99% chance you're an idiot."
27,"you have 2,000 friends on fb and your profile pic was taken in the mirror? you couldn't find one of your ""friends"" to take it?"
28,"""i am cleaning up my friends list"" should be changed to ""i'm notifying you that you should give me attention and argue your friendship level to me."""
29,sometimes i want to comment on a photo on facebook but then i don't wanna have to explain why i'm in your random party pics' album at 4am.
30,"my doctor told me to start killing people. well, not in those exact words. he said i had to reduce the stress in my life. same thing!"
31,"funny, this warrant doesn't feel so outstanding."
32,"and the moral of little red riding hood is,,, learn to differentiate facial features between a wild dog & a human..."
33,"if there was a way to read a woman's mind...i'm still not sure i'd want too...i hate shoes, shopping, gossip & i already know i'm annoying."
34,"relax,,, we're all crazy.. it's not a competition."
35,i'm not really a social drinker. i'd say most of my drinking is work related.
36,"how you can tell if a person is irish: a fly lands in their pint of beer. they grab the fly and start shaking it over their beer yelling ""spit it out ya bastard, spit it out!"""
37,expecting your guy to be romantic all the time is like expecting you to behave like a porn star all the time.
38,"beauty and the beast is my favorite story that teaches kids that if you're ugly, hold a girl against her will & she'll eventually love you."
39,"oh look, it's raining outside. i think i'll go on facebook and update all my friends that don't have a window of their own."
40,the days of good grammar has went.
41,"yes, i'm aware i can't fly, but that doesn't mean i'm not going to try if my chute doesn't open."
42,"when asian tourists ask me to take their picture for them; i always say, ""okay let's do one more but this time don't squint"
43,i wake up relatively happy every morning. then i interact with other people and things change quickly.
44,your kid is running around the store screaming at the top of his lungs annoying everyone and i'm the asshole for tripping him??
45,"saw a boat with a sign that read ""for sale"" so i added the missing ""-ing""........................ idiots."
46,"i ignored your facebook friend request only because there isn't a ""oh hell no!"" button!!!"
47,"i just held the door open for a japanese guy and he said, ""sank you"" so i punched him in the face. i can't believe he brought up pearl harbor just like that."
48,"there is no ""i"" in ""team."" but there's an ""i"" in ""tim,"" and my friend carlos pronounces it ""team"" so....there"
49,my i.q. goes from 125 to about 14 when there's a hot girl around.
50,"give a man a fish and he will eat for a day! teach a man to fish and he will go out and purchase expensive fishing gear, stupid looking clothes, a sports utility vehicle, travel 1000 miles to a lake, to stand waist high to catch 2 fish!"
51,steven tyler is quitting american idol after two seasons! i sure am going to miss that old lady!!!
52,"i'm old school when it comes to video games and by that i mean i turn into a senior citizen who yells ""which one am i?"" every 30 seconds."
53,i've found that the things i'm most interested in aren't really in my best interest.
54,"the clearer your conscience, the more likely you are to answer a call from an unknown number."
55,you ever notice when your phone decides to call someone its someone you don't want to talk to.!
56,my liver works harder for two days than i do all week...
57,"i'm not calling you a slut, but if you had a password for your vagina it would be ""1234"""
58,sundays always bring out my inner senior citizen....
59,"practicing my ""eye rolling"" cause you know... tomorrow's monday."
60,you know times are tough when you are totally jealous of your friends shopping spree... at the dollar store!
61,i wanna go to africa to see where rappers come from.
62,hung like einstein smart as a horse... thanks dad.
63,"every time i get a birthday card with money in it, i pretend not to notice the money and ""read"" the card."
64,best advice i can give to newlyweds is to buy a really comfortable couch.
65,"that dolphin tattoo on your ass was so hot when you were 18, now it looks like a used condom!"
66,"when someone says ""be honest"" what they really mean is: lie to me, but be as convincing as possible."
67,got a problem with me? i'm pretty sure a status on facebook won't fix it.
68,"congrats on being one of the ""cool kids"" in highschool. too bad about the rest of your life though."
69,"gay marriage is legal in 6 states. having sex with a horse is legal in 23. good going, america."
70,please don't dress like a slut unless you're really a slut...it's very confusing to us guys.
71,i can see you're upset. maybe you should post more about it on facebook. that should eliminate any more drama.
72,"romeo and juliet is not a love story... it's a 3-day relationship between a 13 year-old and a 17 year-old that caused 6 deaths. sincerely, everyone who actually read it."
73,i need an app that shows oncoming traffic on my touch screen while i'm driving
74,next time you over hear a stranger giving out their number. text them details of what they are wearing. it's so fun to watch them freak out!
75,how can this cop expect me to show him my license when he took it away last month? what an idiot.
76,i respect whoever allowed women into the military. girl on period + gun = unstoppable.
77,just because you are chubby and heartbroken doesn't mean you must sing adele's song on karaoke.
78,i've been keeping this a secret for almost a year now because i didn't want to lose friends: i don't work on mondays.
79,the worst thing about doggie style is you can both see your kid come into the room.
80,"forrest whitaker turned 51 today, his right eye turned 47."
81,"that awkward moment when you change your facebook status to ""single"" and your ex likes it."
82,i now pronounce you husband and wife. you may now update your facebook status.
83,that awkward moment when your in super deep thought. then 3 minutes later you realize you are staring directly at someone.
84,"if there's one thing i really can't stand when i'm drunk, it's up."
85,"the key to a long and good relationship is to keep the fights clean, and the sex dirty!!!"
86,i don't know what all this fuss is about same sex marriage! me and my wife have been having the same sex for 21yrs! it's boring but it isn't worth getting all upset over!!!
87,"if lesbians aren't attracted to men, why are they attracted to women that look like men?"
88,"so you're the bitch that told that bitch that i'm a bitch. well listen bitch, it takes a bitch to know a bitch. so who's the bitch now, bitch?"
89,"hey, i'm a girl. i ignore nice guys, chase douche bags, and then complain about it"
90,"i used to be a people person, but people ruined it for me!!!"
91,what's the world's longest sentence? .... i do.
92,"i do have a life outside of facebook, but i don't remember the password for it."
93,for my next magic trick i'll need a condom and a volunteer.
94,"life is ironic. we spend so much money on expensive clothes, but the best moments in life are spent without them."
95,rest areas are weird. the guy in the stall next to me has four feet.
96,"every so often, i try to fornicate a large word into conversation, even if i'm not sure what it means"
97,"doggy style, because sometimes you both just like the same tv show."
98,you think you're pretty smart until you have to figure out how to turn on someone else's shower.
99,"relationships are harder now because conversations become texting, arguments become phone calls, and feelings become status updates"
100,"people say drinking milk makes you stronger. i drunk 5 glasses of milk and tried to move a wall. it didn't work. then, i drank 5 glasses of vodka and the wall moved alone!!"
101,"find someone who will change your life, not just your relationship status."
102,"unless there's a new app that lets you shoot people, that phone holster looks ridiculous."
103,so passed caring about how i dress any more. i just put on whatever makes me not naked and hope for the best
104,"memo to self: next time you fill out a job application and it asks about military service, it is best not to mention that you've gone commando a few times in your life."
105,"you say, ""i think we should see other people"" like i haven't been doing so ever since we started dating."
106,"fellas; if she doesn't call you every fcuking minute of the day, never let her go."
107,"my kids don't like when i drink, but if it wasn't for alcohol, they wouldn't even be here."
108,"what's with these people on facebook who never particpate on your page at all, yet act all weird when you decline attending their stupid event?"
109,"you know as soon as my ""swear jar"" gets full, i'm going to use the money to get a fking puppy!!!"
110,"pot is a plant, that grows in the ground. if god didn't want it, it wouldn't be around. so all you f*ckers that don't get high, shut the f*ck up and give it a try!"
111,"hello mother. hello father. here i am at camp marijuana. crack is good, but weed is better, i'm so f*cked up, a friend wrote this letter."
112,"after i die, i want someone to periodically log in as me so it looks like i'm haunting facebook."
113,"i'm getting drunk while depressed. if i have your phone number, now would be a good time to put your phone off."
114,don't save a spot for someone who won't make an effort to stay.
115,there is always that one person you want to punch for no reason every-time you see them.
116,the annoying moment when i get comfy in bed and realize i forgot to do something.
117,real laziness is being excited when plans get canceled.
118,like if you remember this: the walk of shame when you have to put something back in a store after your mom says no.
119,the angry moment when you plug your charger into your phone but you realize hours later your charger wasn't plugged in.
120,i hate that random song you hear in the morning and gets stuck in your head all day long.
121,the dark knight rises.....a porn title that requires no alterations.
122,"my wife asked me how i could love her and still enjoy watching porn. i told her, i love my car but i still watch nascar"
123,"i want one of those jobs where people ask, ""do you actually get paid for doing this?"""
124,"oh science, oh science, oh science!!"" ~an atheist having sex."
125,why has no one invented a device where i can move myself around from place to place while lying in a hammock? i remember when we used to make stuff in this lazy country!
126,simple cure for childhood obesity: ice cream trucks that don't stop.
127,"ok children, what sounds did we hear on our field trip to the farm yesterday?...""moo!"" ""bahhh!"" ""quack quack""...""get the fuk off that tractor!!!"""
128,"well, it's almost time to show up late for something else."
129,"if you don't send the person you're stalking a nude photo of yourself, then you're not taking that relationship serious enough!"
130,"prison counts as a gated community, right?"
131,my exercise program consists of having a lot of stairs in my home and forgetting things.
132,weird how an attractive face is the criteria by which one decides whether to lick the area that someone pees from.
133,i sometimes wonder why i'm 33 and single. then i see you with your screaming kids in the grocery store and quickly remember.
134,that awkward moment when you accept a compliment that wasn't meant for you.
135,"i found an old coin and took it to a coin expert to examine it! he said ""this could be worth $5,000,000.00!"" after catching my breath i gasped ""really?"" he tossed it back to me and said ""yeah, if you use it to scratch off a winning lottery ticket!!!'"
136,135.
137,"a few years ago while i was on vacation, on stage at the strip club was the ugliest dancer i've ever seen. she danced up to me and said ""hey handsome, what would you like me to take off first?"" i said ""my glasses."""
138,"fred willard got arrested for jerking off in a porn theater. well, at least he can honestly say his newest release is in theaters now!"
139,nothing says i mean business' like using a grocery cart at the liquor store.
140,"my mother always told me if you can't say anything nice, don't say anything at all... and some people wonder why i'm so quiet around them."
141,flirting is dangerous business. one wrong move and you're committed.
142,i'm not comfortable with the fact that there's a skeleton inside me.
143,damn you e cards! your making it too easy to share my stolen status'!
144,"you call it laziness', i call it laziness' too because i don't feel like coming up with an alternate excuse."
145,i'm a guy that loves to show a woman exactly what i like sexually. so i start off every first date with a 2-hour powerpoint presentation.
146,now..a cheaper way to express your love...-e-cards !
147,"i have a friend whose status says ""suicidal standing on edge of cliff'.... i poked him."
148,"""don't kid yourself"" would be a great slogan for an abortion clinic."
